Critical.Item_Num,Talker.A,Talker.A_Materials,Talker.A_Sound,Talker.B,Talker.B_Materials,Talker.B_Sound,Shift,Talker.A_Gender,Talker.A_Ear,Talker.B_Gender,Talker.B_Ear,filename,rep
1,Ambition,A,Sh,Parasite,B,S,Unshifted,Female,Right,Male,Left,Critical_05.B_S.Parasite.M.L_A_Sh.Ambition.F.R.wav,1
2,Machinery,A,Sh,Obscene,B,S,Unshifted,Female,Right,Male,Left,Critical_05.B_S.Obscene.M.L_A_Sh.Machinery.F.R.wav,1
3,Brochure,A,Sh,Medicine,B,S,Unshifted,Female,Right,Male,Left,Critical_05.B_S.Medicine.M.L_A_Sh.Brochure.F.R.wav,1
4,Official,A,Sh,Tennessee,B,S,Unshifted,Female,Right,Male,Left,Critical_05.B_S.Tennessee.M.L_A_Sh.Official.F.R.wav,1
5,Crucial,A,Sh,Penninsula,B,S,Unshifted,Female,Right,Male,Left,Critical_05.B_S.Penninsula.M.L_A_Sh.Crucial.F.R.wav,1
6,Pediatrician,A,Sh,Hallucinate,B,S,Unshifted,Female,Right,Male,Left,Critical_05.B_S.Hallucinate.M.L_A_Sh.Pediatrician.F.R.wav,1
7,Flourishing,A,Sh,Arkansas,B,S,Unshifted,Female,Right,Male,Left,Critical_05.B_S.Arkansas.M.L_A_Sh.Flourishing.F.R.wav,1
8,Reassure,A,Sh,Compensate,B,S,Unshifted,Female,Right,Male,Left,Critical_05.B_S.Compensate.M.L_A_Sh.Reassure.F.R.wav,1
9,Graduation,A,Sh,Dinosaur,B,S,Unshifted,Female,Right,Male,Left,Critical_05.B_S.Dinosaur.M.L_A_Sh.Graduation.F.R.wav,1
10,Vacation,A,Sh,Rehearsal,B,S,Unshifted,Female,Right,Male,Left,Critical_05.B_S.Rehearsal.M.L_A_Sh.Vacation.F.R.wav,1
11,Pregnancy,B,S,Initial,A,Sh,Shifted,Female,Right,Male,Left,Critical_05.A_Ash.Initial.M.L_B_As.Pregnancy.F.R.wav,1
12,Democracy,B,S,Beneficial,A,Sh,Shifted,Female,Right,Male,Left,Critical_05.A_Ash.Beneficial.M.L_B_As.Democracy.F.R.wav,1
13,Embassy,B,S,Negotiate,A,Sh,Shifted,Female,Right,Male,Left,Critical_05.A_Ash.Negotiate.M.L_B_As.Embassy.F.R.wav,1
14,Legacy,B,S,Commercial,A,Sh,Shifted,Female,Right,Male,Left,Critical_05.A_Ash.Commercial.M.L_B_As.Legacy.F.R.wav,1
15,Reconcile,B,S,Parachute,A,Sh,Shifted,Female,Right,Male,Left,Critical_05.A_Ash.Parachute.M.L_B_As.Reconcile.F.R.wav,1
16,Personal,B,S,Efficient,A,Sh,Shifted,Female,Right,Male,Left,Critical_05.A_Ash.Efficient.M.L_B_As.Personal.F.R.wav,1
17,Eraser,B,S,Publisher,A,Sh,Shifted,Female,Right,Male,Left,Critical_05.A_Ash.Publisher.M.L_B_As.Eraser.F.R.wav,1
18,Episode,B,S,Glacier,A,Sh,Shifted,Female,Right,Male,Left,Critical_05.A_Ash.Glacier.M.L_B_As.Episode.F.R.wav,1
19,Literacy,B,S,Refreshing,A,Sh,Shifted,Female,Right,Male,Left,Critical_05.A_Ash.Refreshing.M.L_B_As.Literacy.F.R.wav,1
20,Coliseum,B,S,Impatient,A,Sh,Shifted,Female,Right,Male,Left,Critical_05.A_Ash.Impatient.M.L_B_As.Coliseum.F.R.wav,1
