Filler_Item.Num,Talker.A_Word,Talker.B_Nonword,Assignment_Talker.B_Gender,Assignment_Talker.B_Ear,filename
1,ameri,womin,Female (F),Left (L),Filler_W.ameri.M.R_N.womin.F.L
2,blueb,ungel,Female (F),Left (L),Filler_W.blueb.M.R_N.ungel.F.L
3,camer,tileg,Female (F),Left (L),Filler_W.camer.M.R_N.tileg.F.L
4,direc,rimke,Female (F),Left (L),Filler_W.direc.M.R_N.rimke.F.L
5,dynam,rakil,Female (F),Left (L),Filler_W.dynam.M.R_N.rakil.F.L
6,garde,perku,Female (F),Left (L),Filler_W.garde.M.R_N.perku.F.L
7,hambu,nomer,Female (F),Left (L),Filler_W.hambu.M.R_N.nomer.F.L
8,hurdl,namue,Female (F),Left (L),Filler_W.hurdl.M.R_N.namue.F.L
9,inhab,logel,Female (F),Left (L),Filler_W.inhab.M.R_N.logel.F.L
10,keybo,lened,Female (F),Left (L),Filler_W.keybo.M.R_N.lened.F.L
11,lengt,kelab,Female (F),Left (L),Filler_W.lengt.M.R_N.kelab.F.L
12,linge,inpak,Female (F),Left (L),Filler_W.linge.M.R_N.inpak.F.L
13,melan,hinta,Female (F),Left (L),Filler_W.melan.M.R_N.hinta.F.L
14,napki,gondi,Female (F),Left (L),Filler_W.napki.M.R_N.gondi.F.L
15,ornam,gaire,Female (F),Left (L),Filler_W.ornam.M.R_N.gaire.F.L
16,pinea,bikan,Female (F),Left (L),Filler_W.pinea.M.R_N.bikan.F.L
17,purga,balib,Female (F),Left (L),Filler_W.purga.M.R_N.balib.F.L
18,thera,amala,Female (F),Left (L),Filler_W.thera.M.R_N.amala.F.L
19,tutor,ailou,Female (F),Left (L),Filler_W.tutor.M.R_N.ailou.F.L
20,wealt,acomi,Female (F),Left (L),Filler_W.wealt.M.R_N.acomi.F.L
