workerid,proliferate.condition,comments,error
408,Condition.23_F_L_A_Sh_01_B_1_0,,
420,Condition.12_F_L_A_S_05_A_1_1,,
405,Condition.41_M_L_A_S_05_A_0_0,The Asi and Ashi part was difficult because It was almost like whichever one I imagining was what I was hearing. ,
430,Condition.43_M_L_A_S_05_A_1_0,,
419,Condition.24_F_L_A_Sh_01_B_1_1,,
421,Condition.44_M_L_A_S_05_A_1_1,"Part 2 was real tough, but just might have been my headphones.",
431,Condition.32_F_L_A_Sh_05_B_1_1,Very interesting but challenging.,
423,Condition.30_F_L_A_Sh_05_B_0_1,,
415,Condition.5_F_L_A_S_01_B_0_0,,
414,Condition.48_M_L_A_S_05_B_1_1,none,
